"","mat_ori$id","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.cellulose.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.chitin.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.heteromannan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.mixed.linkage.glucan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xylan.and.heteroxylan.breakdown","Resource.Acquisition.Substrate.degradation.complex.carbohydrate.depolymerization.xyloglucan.breakdown","Resource.Acquisition.Substrate.degradation.simple.compound.degradation.protein.degradation"
"142","grassAmbWet2_bin.42.orig",1.40436387348835e-06,9.36242582325566e-07,4.68121291162783e-07,1.17030322790696e-06,2.34060645581391e-06,1.17030322790696e-06,7.25588001302313e-06
"143","grassAmbWet2_bin.44.orig",1.80780174922897e-06,0,1.80780174922897e-06,3.61560349845794e-06,3.61560349845794e-06,1.80780174922897e-06,1.62702157430608e-05
"144","grassAmbWet2_bin.45.orig",8.19686912386945e-07,8.19686912386945e-07,2.04921728096736e-07,6.14765184290208e-07,1.84429555287063e-06,1.02460864048368e-06,5.94273011480535e-06
"145","grassAmbWet2_bin.46.orig",1.07655141824884e-06,3.58850472749613e-07,3.58850472749613e-07,3.58850472749613e-07,1.43540189099845e-06,3.58850472749613e-07,5.02390661849458e-06
"146","grassAmbWet2_bin.47.orig",9.14229084324148e-07,4.57114542162074e-07,2.28557271081037e-07,6.85671813243111e-07,2.05701543972933e-06,4.57114542162074e-07,5.71393177702593e-06
"147","grassAmbWet2_bin.49.orig",4.07817369594279e-07,4.07817369594279e-07,4.07817369594279e-07,4.07817369594279e-07,1.63126947837712e-06,0,7.7485300222913e-06
"148","grassAmbWet2_bin.5.orig",3.88024327573242e-07,3.88024327573242e-07,1.94012163786621e-07,3.88024327573242e-07,9.70060818933104e-07,3.88024327573242e-07,5.626352749812e-06
"149","grassAmbWet2_bin.50.strict",1.20172259723979e-06,9.6137807779183e-07,4.80689038895915e-07,9.6137807779183e-07,2.16310067503162e-06,9.6137807779183e-07,5.76826846675098e-06
"150","grassAmbWet2_bin.51.orig",5.80332614736473e-07,7.25415768420591e-07,2.90166307368237e-07,4.35249461052355e-07,1.30574838315706e-06,7.25415768420591e-07,3.91724514947119e-06
"151","grassAmbWet2_bin.52.orig",7.99352460558751e-07,4.7961147633525e-07,3.197409842235e-07,6.39481968447e-07,1.5987049211175e-06,6.39481968447e-07,5.27572623968775e-06
"152","grassAmbWet2_bin.53.orig",5.0288884496993e-07,5.0288884496993e-07,2.51444422484965e-07,2.51444422484965e-07,7.54333267454895e-07,0,7.04044382957902e-06
"153","grassAmbWet2_bin.54.orig",1.93008237977613e-06,1.54406590382091e-06,3.86016475955227e-07,1.15804942786568e-06,3.08813180764181e-06,1.15804942786568e-06,9.65041189888067e-06
"154","grassAmbWet2_bin.55.orig",8.9904557321947e-07,8.9904557321947e-07,5.99363715479647e-07,8.9904557321947e-07,2.99681857739823e-06,1.49840928869912e-06,6.59300087027612e-06
"155","grassAmbWet2_bin.57.orig",5.53358109020401e-07,8.30037163530602e-07,2.76679054510201e-07,5.53358109020401e-07,1.383395272551e-06,2.76679054510201e-07,6.64029730824481e-06
"156","grassAmbWet2_bin.59.orig",6.58560012433613e-07,0,3.29280006216807e-07,3.29280006216807e-07,2.30496004351765e-06,3.29280006216807e-07,6.25632011811932e-06
"157","grassAmbWet2_bin.6.orig",8.59592302247782e-07,6.87673841798226e-07,3.43836920899113e-07,8.59592302247782e-07,2.06302152539468e-06,8.59592302247782e-07,4.64179843213802e-06
"158","grassAmbWet2_bin.60.orig",5.29456441486195e-07,7.94184662229292e-07,5.29456441486195e-07,2.64728220743097e-07,1.32364110371549e-06,0,6.35347729783434e-06
"159","grassAmbWet2_bin.61.strict",6.86199095177873e-07,6.86199095177873e-07,3.43099547588937e-07,6.86199095177873e-07,1.71549773794468e-06,3.43099547588937e-07,5.14649321383405e-06
"160","grassAmbWet2_bin.7.orig",8.9945448085736e-07,8.9945448085736e-07,2.99818160285787e-07,5.99636320571573e-07,2.99818160285787e-06,5.99636320571573e-07,4.4972724042868e-06
"161","grassAmbWet2_bin.8.orig",4.69304659444381e-07,7.03956989166571e-07,2.3465232972219e-07,2.3465232972219e-07,1.17326164861095e-06,0,7.03956989166571e-06
"162","grassAmbWet2_bin.9.orig",5.78739037597492e-07,5.78739037597492e-07,2.89369518798746e-07,2.89369518798746e-07,1.73621711279248e-06,2.89369518798746e-07,8.97045508276113e-06
"163","grassRedDry1_bin.1.orig",1.66508760858453e-06,1.24881570643839e-06,8.32543804292263e-07,1.24881570643839e-06,3.33017521716905e-06,8.32543804292263e-07,8.32543804292263e-06
"164","grassRedDry1_bin.10.orig",1.73131812520408e-06,1.38505450016326e-06,6.92527250081632e-07,1.73131812520408e-06,3.46263625040816e-06,1.38505450016326e-06,7.27153612585713e-06
"165","grassRedDry1_bin.11.orig",1.10870079558152e-06,6.6522047734891e-07,4.43480318232607e-07,6.6522047734891e-07,2.66088190939564e-06,1.33044095469782e-06,5.54350397790758e-06
"166","grassRedDry1_bin.12.orig",7.76650168028264e-07,3.88325084014132e-07,7.76650168028264e-07,7.76650168028264e-07,1.55330033605653e-06,7.76650168028264e-07,4.65990100816958e-06
"167","grassRedDry1_bin.13.permissive",1.15713452990687e-06,1.15713452990687e-06,2.89283632476716e-07,5.78567264953433e-07,2.89283632476716e-06,8.67850897430149e-07,6.36423991448776e-06
"168","grassRedDry1_bin.14.orig",1.07037234329125e-06,7.13581562194163e-07,3.56790781097082e-07,3.56790781097082e-07,3.56790781097082e-06,3.56790781097082e-07,7.13581562194163e-06
"169","grassRedDry1_bin.15.orig",1.45452958694996e-06,1.09089719021247e-06,3.6363239673749e-07,7.2726479347498e-07,3.27269157063741e-06,1.09089719021247e-06,5.81811834779984e-06
"170","grassRedDry1_bin.16.orig",1.89331761122389e-06,7.57327044489556e-07,3.78663522244778e-07,1.13599056673433e-06,3.407971700203e-06,1.51465408897911e-06,7.19460692265078e-06
"171","grassRedDry1_bin.17.orig",7.75907753878957e-07,1.29317958979826e-06,2.58635917959652e-07,5.17271835919305e-07,1.03454367183861e-06,1.03454367183861e-06,8.53498529266853e-06
"172","grassRedDry1_bin.18.strict",6.42312530650351e-07,6.42312530650351e-07,3.21156265325176e-07,3.21156265325176e-07,1.2846250613007e-06,3.21156265325176e-07,8.67121916377974e-06
"173","grassRedDry1_bin.19.strict",1.10758161768941e-06,1.10758161768941e-06,3.69193872563136e-07,7.38387745126272e-07,2.58435710794195e-06,1.47677549025254e-06,7.01468357869958e-06
"174","grassRedDry1_bin.20.orig",7.1038149143647e-07,9.47175321915293e-07,2.36793830478823e-07,4.73587660957646e-07,9.47175321915293e-07,4.73587660957646e-07,5.44625810101293e-06
"176","grassRedDry1_bin.22.orig",1.33597886837691e-06,8.90652578917942e-07,4.45326289458971e-07,4.45326289458971e-07,2.00396830256537e-06,1.11331572364743e-06,7.12522063134353e-06
"177","grassRedDry1_bin.23.orig",1.27747366807402e-06,9.58105251055513e-07,3.19368417018504e-07,6.38736834037008e-07,1.59684208509252e-06,0,8.62294725949961e-06
"178","grassRedDry1_bin.24.orig",1.44690160490326e-06,1.08517620367745e-06,3.61725401225815e-07,3.61725401225815e-07,3.25552861103234e-06,1.08517620367745e-06,6.87278262329049e-06
"179","grassRedDry1_bin.25.strict",1.1398736051153e-06,8.54905203836473e-07,2.84968401278824e-07,8.54905203836473e-07,3.13465241406707e-06,8.54905203836473e-07,6.83924163069178e-06
"180","grassRedDry1_bin.26.strict",9.72514314195062e-07,9.72514314195062e-07,4.86257157097531e-07,4.86257157097531e-07,1.45877147129259e-06,4.86257157097531e-07,8.26637167065803e-06
"181","grassRedDry1_bin.27.orig",1.37202536326087e-06,6.86012681630433e-07,6.86012681630433e-07,6.86012681630433e-07,2.0580380448913e-06,0,7.54613949793476e-06
"182","grassRedDry1_bin.28.orig",1.09347189080152e-06,1.09347189080152e-06,5.46735945400762e-07,1.09347189080152e-06,2.46031175430343e-06,1.09347189080152e-06,5.19399148130723e-06
"183","grassRedDry1_bin.29.orig",1.11794360980638e-06,0,1.11794360980638e-06,5.58971804903189e-07,3.35383082941913e-06,5.58971804903189e-07,9.50252068335421e-06
"184","grassRedDry1_bin.3.orig",1.18767314047501e-06,1.18767314047501e-06,0,5.93836570237505e-07,5.93836570237505e-07,1.78150971071251e-06,7.71987541308756e-06
"185","grassRedDry1_bin.30.strict",1.02927171563899e-06,1.28658964454873e-06,2.57317928909747e-07,5.14635857819493e-07,1.80122550236823e-06,1.28658964454873e-06,5.91831236492417e-06
"186","grassRedDry1_bin.31.orig",9.34107583972769e-07,4.67053791986384e-07,4.67053791986384e-07,7.00580687979577e-07,1.40116137595915e-06,0,4.90406481585704e-06
"187","grassRedDry1_bin.32.orig",4.81434327663722e-07,1.20358581915931e-06,2.40717163831861e-07,2.40717163831861e-07,9.62868655327444e-07,4.81434327663722e-07,7.46223207878769e-06
"188","grassRedDry1_bin.33.permissive",0,4.3782242885495e-07,0,0,4.3782242885495e-07,8.756448577099e-07,1.40103177233584e-05
"189","grassRedDry1_bin.34.strict",1.32899843576884e-06,8.85998957179227e-07,4.42999478589614e-07,4.42999478589614e-07,3.1009963501273e-06,1.77199791435845e-06,1.10749869647403e-05
"190","grassRedDry1_bin.35.orig",5.09819636009173e-07,5.09819636009173e-07,2.54909818004586e-07,2.54909818004586e-07,7.64729454013759e-07,0,6.88256508612383e-06
"191","grassRedDry1_bin.36.orig",2.94634340368956e-06,2.20975755276717e-06,7.3658585092239e-07,2.20975755276717e-06,5.89268680737912e-06,7.3658585092239e-07,6.62927265830151e-06
"192","grassRedDry1_bin.37.orig",9.91361769223868e-07,0,4.95680884611934e-07,4.95680884611934e-07,1.4870426538358e-06,4.95680884611934e-07,6.93953238456707e-06
"193","grassRedDry1_bin.39.orig",5.52843245167735e-07,5.52843245167735e-07,2.76421622583868e-07,2.76421622583868e-07,8.29264867751603e-07,2.76421622583868e-07,8.84549192268377e-06
"194","grassRedDry1_bin.4.orig",1.84060964672719e-06,1.38045723504539e-06,4.60152411681797e-07,9.20304823363595e-07,2.30076205840899e-06,0,7.82259099859055e-06
"195","grassRedDry1_bin.41.orig",8.34112533458339e-07,5.56075022305559e-07,2.7803751115278e-07,5.56075022305559e-07,1.3901875557639e-06,0,4.17056266729169e-06
"196","grassRedDry1_bin.42.orig",2.79094483530076e-06,1.11637793412031e-06,5.58188967060153e-07,1.11637793412031e-06,4.46551173648122e-06,1.67456690118046e-06,6.69826760472183e-06
"197","grassRedDry1_bin.44.orig",1.82035134601329e-06,9.10175673006647e-07,4.55087836503324e-07,9.10175673006647e-07,3.18561485552326e-06,9.10175673006647e-07,6.37122971104653e-06
"198","grassRedDry1_bin.45.orig",2.17126032977102e-06,8.68504131908408e-07,8.68504131908408e-07,1.73700826381682e-06,3.03976446167943e-06,1.73700826381682e-06,7.38228512122146e-06
"199","grassRedDry1_bin.46.orig",7.88283894138203e-07,7.88283894138203e-07,0,0,1.97070973534551e-06,3.94141947069101e-07,7.48869699431293e-06
"200","grassRedDry1_bin.47.permissive",5.48430077770127e-07,1.09686015554025e-06,0,2.74215038885064e-07,1.64529023331038e-06,8.22645116655191e-07,6.0327308554714e-06
"201","grassRedDry1_bin.48.orig",7.33868200940452e-07,7.33868200940452e-07,1.83467050235113e-07,5.50401150705339e-07,1.65120345211602e-06,1.28426935164579e-06,4.95361035634805e-06
"202","grassRedDry1_bin.49.orig",8.46341603783486e-07,8.46341603783486e-07,4.23170801891743e-07,4.23170801891743e-07,2.11585400945871e-06,4.23170801891743e-07,8.46341603783486e-06
"203","grassRedDry1_bin.5.orig",1.59182337637199e-06,9.55094025823196e-07,3.18364675274399e-07,3.18364675274399e-07,2.86528207746959e-06,9.55094025823196e-07,7.00402285603677e-06
"204","grassRedDry1_bin.50.orig",9.54756021646229e-07,6.36504014430819e-07,3.18252007215409e-07,6.36504014430819e-07,2.22776405050787e-06,3.18252007215409e-07,7.31979616595442e-06
"205","grassRedDry1_bin.51.orig",1.13856615809447e-06,1.13856615809447e-06,3.79522052698155e-07,3.79522052698155e-07,2.27713231618893e-06,3.79522052698155e-07,5.69283079047233e-06
"206","grassRedDry1_bin.52.orig",1.07391007077067e-06,1.07391007077067e-06,7.15940047180449e-07,1.07391007077067e-06,3.22173021231202e-06,2.14782014154135e-06,9.30722061334584e-06
"207","grassRedDry1_bin.53.orig",8.95537358236436e-07,5.97024905490957e-07,2.98512452745479e-07,2.98512452745479e-07,2.68661207470931e-06,8.95537358236436e-07,6.26876150765505e-06
"208","grassRedDry1_bin.54.permissive",1.24019214710332e-06,4.13397382367775e-07,4.13397382367775e-07,8.2679476473555e-07,8.2679476473555e-07,1.24019214710332e-06,7.44115288261995e-06
"209","grassRedDry1_bin.6.orig",2.21957845765932e-06,4.43915691531864e-07,4.43915691531864e-07,8.87831383063729e-07,3.55132553225491e-06,1.77566276612746e-06,6.2148196814461e-06
"210","grassRedDry1_bin.7.orig",4.11306317089202e-07,8.22612634178403e-07,0,0,1.23391895126761e-06,8.22612634178403e-07,8.63743265887324e-06
"211","grassRedDry1_bin.8.orig",6.05915920683182e-07,6.05915920683182e-07,3.02957960341591e-07,6.05915920683182e-07,9.08873881024773e-07,3.02957960341591e-07,9.08873881024773e-06
"212","grassRedDry1_bin.9.orig",1.3389204998101e-06,4.46306833270032e-07,4.46306833270032e-07,4.46306833270032e-07,3.57045466616026e-06,1.3389204998101e-06,7.58721616559055e-06
"213","grassRedDry2_bin.1.orig",8.03746530494143e-07,8.03746530494143e-07,2.67915510164714e-07,5.35831020329429e-07,1.33957755082357e-06,0,4.28664816263543e-06
"214","grassRedDry2_bin.10.orig",9.47461371999864e-07,6.31640914666576e-07,3.15820457333288e-07,6.31640914666576e-07,1.89492274399973e-06,0,6.31640914666576e-06
"215","grassRedDry2_bin.11.strict",7.55855613437299e-07,7.55855613437299e-07,3.77927806718649e-07,7.55855613437299e-07,1.70067513023392e-06,5.66891710077974e-07,5.47995319742042e-06
"216","grassRedDry2_bin.12.orig",1.88134719509947e-06,1.25423146339964e-06,6.27115731699822e-07,1.25423146339964e-06,3.76269439019893e-06,0,6.27115731699822e-06
"217","grassRedDry2_bin.13.orig",1.12043217309781e-06,8.40324129823356e-07,2.80108043274452e-07,5.60216086548904e-07,2.24086434619561e-06,1.12043217309781e-06,6.16237695203794e-06
"218","grassRedDry2_bin.14.strict",1.11158322520871e-06,1.11158322520871e-06,2.77895806302177e-07,8.3368741890653e-07,2.77895806302177e-06,8.3368741890653e-07,6.66949935125224e-06
"219","grassRedDry2_bin.15.orig",8.70889120313158e-07,6.96711296250526e-07,3.48355648125263e-07,6.96711296250526e-07,1.56760041656368e-06,1.21924476843842e-06,5.05115689781632e-06
"220","grassRedDry2_bin.16.orig",6.85693283908561e-07,3.42846641954281e-07,3.42846641954281e-07,6.85693283908561e-07,1.37138656781712e-06,3.42846641954281e-07,5.14269962931421e-06
"221","grassRedDry2_bin.17.strict",5.21317996157886e-07,5.21317996157886e-07,1.04263599231577e-06,1.04263599231577e-06,3.12790797694732e-06,0,7.29845194621041e-06
"222","grassRedDry2_bin.18.orig",1.14504974954899e-06,1.14504974954899e-06,1.14504974954899e-06,5.72524874774497e-07,3.43514924864698e-06,1.14504974954899e-06,1.14504974954899e-05
"223","grassRedDry2_bin.19.orig",1.57165933592364e-06,6.28663734369455e-07,6.28663734369455e-07,1.25732746873891e-06,3.14331867184727e-06,1.25732746873891e-06,6.28663734369455e-06
"224","grassRedDry2_bin.2.orig",8.97349498785437e-07,8.97349498785437e-07,5.98232999190292e-07,8.97349498785437e-07,2.69204849635631e-06,1.79469899757087e-06,6.58056299109321e-06
"225","grassRedDry2_bin.20.orig",1.63254178184589e-06,8.16270890922945e-07,4.08135445461473e-07,1.22440633638442e-06,1.63254178184589e-06,1.22440633638442e-06,7.75457346376798e-06
"226","grassRedDry2_bin.21.orig",1.05082784217406e-06,1.05082784217406e-06,3.50275947391355e-07,7.0055189478271e-07,1.40110378956542e-06,0,9.45745057956658e-06
"227","grassRedDry2_bin.22.orig",1.23870609715915e-06,1.03225508096596e-06,6.19353048579576e-07,1.03225508096596e-06,2.06451016193192e-06,1.03225508096596e-06,5.57417743721618e-06
"228","grassRedDry2_bin.23.orig",1.78807646244092e-06,1.07284587746455e-06,3.57615292488183e-07,7.15230584976367e-07,2.86092233990547e-06,7.15230584976367e-07,6.4370752647873e-06
"229","grassRedDry2_bin.24.orig",1.22005080291543e-06,1.22005080291543e-06,8.13367201943622e-07,1.62673440388724e-06,1.62673440388724e-06,1.22005080291543e-06,9.35372282235166e-06
"230","grassRedDry2_bin.25.orig",8.91062024154315e-07,5.9404134943621e-07,2.97020674718105e-07,2.97020674718105e-07,2.37616539774484e-06,5.9404134943621e-07,8.61359956682505e-06
"231","grassRedDry2_bin.26.orig",2.26741559403738e-06,1.70056169552803e-06,5.66853898509344e-07,1.70056169552803e-06,5.1016850865841e-06,1.70056169552803e-06,7.36910068062148e-06
"232","grassRedDry2_bin.27.orig",2.27974915920001e-06,2.27974915920001e-06,5.69937289800003e-07,1.13987457960001e-06,4.55949831840003e-06,1.70981186940001e-06,7.40918476740004e-06
"233","grassRedDry2_bin.28.orig",1.94095548709734e-06,6.46985162365779e-07,3.23492581182889e-07,9.70477743548668e-07,3.23492581182889e-06,9.70477743548668e-07,6.46985162365779e-06
"234","grassRedDry2_bin.29.orig",5.19974833218072e-07,5.19974833218072e-07,2.59987416609036e-07,2.59987416609036e-07,1.03994966643614e-06,0,6.4996854152259e-06
"235","grassRedDry2_bin.3.orig",5.32438977834299e-07,5.32438977834299e-07,2.6621948891715e-07,2.6621948891715e-07,7.98658466751449e-07,0,7.72036517859734e-06
"236","grassRedDry2_bin.30.orig",9.66220449959201e-07,4.83110224979601e-07,4.83110224979601e-07,4.83110224979601e-07,1.4493306749388e-06,0,8.21287382465321e-06
"237","grassRedDry2_bin.31.orig",1.2391169391829e-06,1.65215591891054e-06,4.13038979727634e-07,8.26077959455268e-07,2.89127285809344e-06,2.06519489863817e-06,9.08685755400794e-06
"238","grassRedDry2_bin.32.orig",3.5926586176743e-07,5.38898792651145e-07,1.79632930883715e-07,1.79632930883715e-07,7.1853172353486e-07,0,5.20935499562773e-06
"239","grassRedDry2_bin.33.orig",8.06413243240846e-07,6.04809932430634e-07,4.03206621620423e-07,8.06413243240846e-07,2.01603310810211e-06,6.04809932430634e-07,5.44328939187571e-06
"240","grassRedDry2_bin.34.orig",1.46227477312807e-06,1.09670607984605e-06,3.65568693282017e-07,3.65568693282017e-07,2.92454954625614e-06,0,6.94580517235833e-06
"241","grassRedDry2_bin.35.orig",8.79399967813961e-07,6.59549975860471e-07,2.1984999195349e-07,6.59549975860471e-07,2.1984999195349e-06,8.79399967813961e-07,5.71609979079075e-06
"242","grassRedDry2_bin.36.orig",7.30046372545584e-07,3.65023186272792e-07,7.30046372545584e-07,1.09506955881838e-06,3.28520867645513e-06,1.09506955881838e-06,6.57041735291026e-06
"243","grassRedDry2_bin.37.orig",7.45507571374895e-07,4.97005047583263e-07,4.97005047583263e-07,4.97005047583263e-07,1.24251261895816e-06,0,5.71555804720753e-06
"244","grassRedDry2_bin.38.orig",1.71632716285113e-06,8.58163581425564e-07,4.29081790712782e-07,8.58163581425564e-07,3.43265432570226e-06,4.29081790712782e-07,8.15255402354286e-06
"245","grassRedDry2_bin.39.orig",3.52318857021257e-07,7.04637714042514e-07,0,0,1.05695657106377e-06,3.52318857021257e-07,9.16029028255268e-06
"246","grassRedDry2_bin.4.orig",1.10256403471401e-06,6.61538420828405e-07,2.20512806942802e-07,6.61538420828405e-07,2.20512806942802e-06,8.82051227771207e-07,6.83589701522685e-06
"247","grassRedDry2_bin.41.orig",1.32639070960577e-06,1.32639070960577e-06,8.8426047307051e-07,1.76852094614102e-06,2.65278141921153e-06,1.32639070960577e-06,6.18982331149357e-06
"248","grassRedDry2_bin.42.orig",5.62933106658936e-07,5.62933106658936e-07,2.81466553329468e-07,5.62933106658936e-07,1.40733276664734e-06,2.81466553329468e-07,8.44399659988404e-06
"249","grassRedDry2_bin.43.orig",9.22642216647925e-07,9.22642216647925e-07,4.61321108323963e-07,9.22642216647925e-07,1.84528443329585e-06,9.22642216647925e-07,5.76651385404953e-06
"250","grassRedDry2_bin.44.strict",7.63812984973507e-07,1.01841731329801e-06,5.09208656649005e-07,5.09208656649005e-07,2.54604328324502e-06,1.01841731329801e-06,6.36510820811256e-06
"251","grassRedDry2_bin.45.orig",7.21509397659905e-07,9.62012530213206e-07,2.40503132553302e-07,4.81006265106603e-07,2.16452819297971e-06,7.21509397659905e-07,5.77207518127924e-06
"252","grassRedDry2_bin.46.strict",1.98249752063904e-06,1.48687314047928e-06,9.91248760319519e-07,9.91248760319519e-07,3.96499504127808e-06,1.48687314047928e-06,9.91248760319519e-06
"253","grassRedDry2_bin.47.orig",9.59053912496401e-07,1.1988173906205e-06,2.397634781241e-07,4.795269562482e-07,1.9181078249928e-06,9.59053912496401e-07,5.7543234749784e-06
"254","grassRedDry2_bin.48.orig",1.14337041817172e-06,6.86022250903034e-07,2.28674083634345e-07,2.28674083634345e-07,2.0580667527091e-06,9.14696334537379e-07,5.71685209085862e-06
"255","grassRedDry2_bin.49.strict",1.24548635744064e-06,9.96389085952508e-07,4.98194542976254e-07,1.24548635744064e-06,2.7400699863694e-06,9.96389085952508e-07,6.22743178720318e-06
"256","grassRedDry2_bin.5.orig",1.68062354494765e-06,1.26046765871073e-06,8.40311772473823e-07,1.26046765871073e-06,2.10077943118456e-06,1.26046765871073e-06,1.00837412696859e-05
"257","grassRedDry2_bin.50.orig",1.64547080868967e-06,1.31637664695173e-06,3.29094161737933e-07,9.87282485213799e-07,3.29094161737933e-06,1.31637664695173e-06,6.58188323475866e-06
"258","grassRedDry2_bin.51.strict",7.40136752600656e-07,9.86849003467541e-07,4.9342450173377e-07,9.86849003467541e-07,1.97369800693508e-06,9.86849003467541e-07,5.18095726820459e-06
"259","grassRedDry2_bin.52.orig",7.54640662755616e-07,7.54640662755616e-07,1.50928132551123e-06,7.54640662755616e-07,2.26392198826685e-06,7.54640662755616e-07,9.810328615823e-06
"260","grassRedDry2_bin.53.strict",1.20307481862143e-06,1.20307481862143e-06,6.01537409310716e-07,6.01537409310716e-07,3.6092244558643e-06,6.01537409310716e-07,8.42152373035003e-06
"261","grassRedDry2_bin.55.orig",4.26225665178429e-07,2.13112832589214e-07,2.13112832589214e-07,4.26225665178429e-07,6.39338497767643e-07,0,4.68848231696272e-06
"262","grassRedDry2_bin.6.orig",1.12335000946422e-06,5.61675004732112e-07,2.80837502366056e-07,5.61675004732112e-07,2.80837502366056e-06,1.12335000946422e-06,6.17842505205323e-06
"263","grassRedDry2_bin.7.orig",5.05268051016915e-07,5.05268051016915e-07,0,2.52634025508458e-07,7.57902076525373e-07,0,7.07375271423681e-06
"264","grassRedDry2_bin.8.strict",1.18951254370715e-06,1.78426881556073e-06,5.94756271853576e-07,5.94756271853576e-07,1.78426881556073e-06,5.94756271853576e-07,1.01108566215108e-05
"265","grassRedDry2_bin.9.permissive",0,4.44038888925892e-07,0,4.44038888925892e-07,4.44038888925892e-07,8.88077777851784e-07,1.28771277788509e-05
"266","grassRedWet1_bin.1.orig",7.11089536127852e-07,4.74059690751901e-07,2.37029845375951e-07,2.37029845375951e-07,1.18514922687975e-06,2.37029845375951e-07,5.21465659827091e-06
"267","grassRedWet1_bin.10.orig",9.19451877957474e-07,9.19451877957474e-07,4.59725938978737e-07,9.19451877957474e-07,1.83890375591495e-06,9.19451877957474e-07,9.65424471855348e-06
"268","grassRedWet1_bin.11.orig",1.21827955373608e-06,1.21827955373608e-06,4.06093184578693e-07,4.06093184578693e-07,2.84265229205085e-06,8.12186369157385e-07,1.01523296144673e-05
"269","grassRedWet1_bin.12.orig",1.14942132383452e-06,1.14942132383452e-06,3.83140441278172e-07,3.83140441278172e-07,1.53256176511269e-06,0,1.07279323557888e-05
"270","grassRedWet1_bin.13.orig",1.68430342894703e-06,8.42151714473514e-07,4.21075857236757e-07,8.42151714473514e-07,1.68430342894703e-06,8.42151714473514e-07,6.31613785855136e-06
"271","grassRedWet1_bin.14.orig",4.73441584173416e-07,0,9.46883168346832e-07,4.73441584173416e-07,1.42032475252025e-06,4.73441584173416e-07,8.04850693094807e-06
"272","grassRedWet1_bin.15.orig",1.04425664068904e-06,1.39234218758539e-06,6.96171093792695e-07,1.04425664068904e-06,2.78468437517078e-06,1.39234218758539e-06,8.70213867240869e-06
"273","grassRedWet1_bin.16.orig",7.80479885862621e-07,5.20319923908414e-07,2.60159961954207e-07,5.20319923908414e-07,1.82111973367945e-06,0,5.98367912494676e-06
"274","grassRedWet1_bin.17.orig",1.35845866020113e-06,8.15075196120677e-07,2.71691732040226e-07,8.15075196120677e-07,1.90184212428158e-06,1.35845866020113e-06,5.43383464080451e-06
"275","grassRedWet1_bin.18.orig",1.54070351603949e-06,8.80402009165425e-07,4.40201004582713e-07,6.60301506874069e-07,1.98090452062221e-06,1.10050251145678e-06,7.26331657561476e-06
"276","grassRedWet1_bin.19.orig",1.02786402318313e-06,1.02786402318313e-06,6.85242682122087e-07,1.02786402318313e-06,2.74097072848835e-06,1.71310670530522e-06,5.82456279803774e-06
"277","grassRedWet1_bin.2.permissive",1.56373143850782e-06,1.56373143850782e-06,5.21243812835942e-07,5.21243812835942e-07,3.64870668985159e-06,2.08497525134377e-06,1.09461200695548e-05
"278","grassRedWet1_bin.20.orig",1.37251905742711e-06,9.15012704951408e-07,9.15012704951408e-07,9.15012704951408e-07,2.28753176237852e-06,4.57506352475704e-07,6.86259528713556e-06
"279","grassRedWet1_bin.22.orig",3.495005287943e-07,3.495005287943e-07,3.495005287943e-07,3.495005287943e-07,1.0485015863829e-06,3.495005287943e-07,9.4365142774461e-06
"280","grassRedWet1_bin.23.orig",9.31399189775845e-07,9.31399189775845e-07,4.65699594887922e-07,4.65699594887922e-07,1.39709878466377e-06,0,8.3825927079826e-06
"281","grassRedWet1_bin.24.orig",1.1289552948756e-06,7.52636863250398e-07,3.76318431625199e-07,7.52636863250398e-07,2.25791058975119e-06,7.52636863250398e-07,8.27900549575438e-06
"282","grassRedWet1_bin.25.orig",1.36343246850812e-06,2.04514870276218e-06,6.81716234254059e-07,6.81716234254059e-07,2.04514870276218e-06,6.81716234254059e-07,1.09074597480649e-05
"283","grassRedWet1_bin.26.orig",1.08327613033545e-06,7.22184086890301e-07,3.6109204344515e-07,3.6109204344515e-07,3.24982839100635e-06,3.6109204344515e-07,7.94402495579331e-06
"284","grassRedWet1_bin.27.orig",1.40411508688898e-06,4.68038362296327e-07,4.68038362296327e-07,1.40411508688898e-06,1.40411508688898e-06,1.40411508688898e-06,9.82880560822287e-06
"285","grassRedWet1_bin.28.strict",1.92502638248657e-06,1.15501582949194e-06,7.70010552994629e-07,1.54002110598926e-06,2.6950369354812e-06,1.54002110598926e-06,5.3900738709624e-06
"286","grassRedWet1_bin.29.orig",1.1725649124607e-06,1.1725649124607e-06,5.8628245623035e-07,1.1725649124607e-06,3.22455350926693e-06,8.79423684345526e-07,6.74224824664903e-06
"287","grassRedWet1_bin.3.orig",7.23163057359847e-07,1.08474458603977e-06,7.23163057359847e-07,1.08474458603977e-06,2.89265222943939e-06,1.80790764339962e-06,7.95479363095832e-06
"288","grassRedWet1_bin.30.orig",5.62168373363001e-07,5.62168373363001e-07,2.810841866815e-07,2.810841866815e-07,8.43252560044501e-07,0,7.30818885371901e-06
